FBgn0031081,Neprilysin 3,CG9565,Dmel\Nep3,dNEP3
FBgn0040367,,CG11382,Dmel\CG11382,EG:BACR42I17.10
FBgn0025642,,CG32812,Dmel\CG32812,EG:114D9.1
FBgn0004650,female sterile (1) Nasrat,CG11411,Dmel\fs(1)N,"fs(1)Nasrat, Nasrat, fs(1)Nas, fs(1)M6, fs(1)K1540"
FBgn0024362,N(alpha)-acetyltransferase 30 A,CG11412,Dmel\Naa30A,EG:8D8.6
FBgn0024361,Tetraspanin 2A,CG11415,Dmel\Tsp2A,EG:8D8.7
FBgn0024364,,CG11417,Dmel\CG11417,EG:8D8.4
FBgn0029573,,CG14770,Dmel\CG14770,
FBgn0024987,sister-of-Sex-lethal,CG3056,Dmel\ssx,EG:132E8.1
FBgn0023169,AMP-activated protein kinase α subunit,CG3051,Dmel\AMPKα,"AMPK, SNF1A, AMP-activated protein kinase,  EG:132E8.2 , dAMPKα"
FBgn0052813,,CG32813,Dmel\CG32813,
FBgn0024985,Rab interacting lysosomal protein like,CG11448,Dmel\Rilpl,EG:132E8.4
FBgn0027794,Leucine-rich pentatricopeptide repeat containing 2,CG14786,Dmel\Lrpprc2,"EG:BACN32G11.3 , ppr"
FBgn0027795,,CG14785,Dmel\CG14785,EG:BACN32G11.2
FBgn0024986,,CG3719,Dmel\CG3719,EG:132E8.3
FBgn0000826,pan gu,CG11420,Dmel\png,"fs(1)M2,  EG:8D8.5"
FBgn0024365,,CG12773,Dmel\CG12773,EG:8D8.3
FBgn0024360,mitochondrial poly(A) polymerase,CG11418,Dmel\MTPAP,EG:8D8.8
FBgn0024366,,CG11409,Dmel\CG11409,EG:8D8.2
FBgn0025641,Dishevelled Associated Activator of Morphogenesis,CG14622,Dmel\DAAM,"EG:114D9.2 , dDAAM, Formin"
FBgn0052811,,CG32811,Dmel\CG32811,
FBgn0028550,Activating transcription factor 3,CG11405,Dmel\Atf3,"A3-3,  EG:33C11.1 , dATF3"
FBgn0026876,,CG11403,Dmel\CG11403,EG:33C11.2
FBgn0040366,,CG11398,Dmel\CG11398,EG:BACR42I17.11
FBgn0040363,,CG11384,Dmel\CG11384,EG:BACR42I17.3
FBgn0040368,eukaryotic translation initiation factor 4E7,CG32859,Dmel\eIF4E7,"eIF4E-7,  EG:BACR42I17.1 , eIF4E"
FBgn0026872,,CG14777,Dmel\CG14777,EG:80H7.10
FBgn0029580,,CG14778,Dmel\CG14778,
FBgn0025383,,CG14780,Dmel\CG14780,"SP95,  EG:80H7.3"
FBgn0025381,rush hour,CG14782,Dmel\rush,EG:80H7.5
FBgn0025394,insomniac,CG32810,Dmel\inc,EG:196F3.2
FBgn0000482,deep orange,CG3093,Dmel\dor,"Vps18,  EG:171E4.1 , Dof, l(1)7"
FBgn0001189,halfway,CG3095,Dmel\hfw,"swi,  EG:171E4.2 , singed wings"
FBgn0029587,,CG14797,Dmel\CG14797,
FBgn0024897,b6,CG3100,Dmel\b6,EG:9D2.1
FBgn0025391,Sarcoglycan δ,CG14808,Dmel\Scgδ,"Sgcd,  EG:4F1.1 , δ-sarcoglycan"
FBgn0025378,,CG3795,Dmel\CG3795,"EG:9D2.4 , SP160"
FBgn0023130,a6,CG3771,Dmel\a6,EG:9D2.3
FBgn0023530,,CG3740,Dmel\CG3740,EG:171E4.4
FBgn0025390,Mucin related 2B,CG14796,Dmel\Mur2B,EG:56G7.1
FBgn0025393,,CG14795,Dmel\CG14795,EG:196F3.3
FBgn0003517,stubarista,CG14792,Dmel\sta,"EG:80H7.6 , l(1)G0130, RpSA, l(1)G0448, P40"
FBgn0044508,snoRNA:M,CR32807,Dmel\snoRNA:M,
FBgn0025382,Rab27,CG14791,Dmel\Rab27,"EG:80H7.4 , DmRab27, dm-Rab27"
FBgn0052808,,CG32808,Dmel\CG32808,EG:80H7.1
FBgn0027791,O-fucosyltransferase 2,CG14789,Dmel\O-fut2,EG:BACN32G11.6
FBgn0027793,,CG14787,Dmel\CG14787,EG:BACN32G11.4
FBgn0052806,,CG32806,Dmel\CG32806,
FBgn0026873,Mediator complex subunit 18,CG14802,Dmel\MED18,"EG:63B12.13 , dp28b, p28/CG14802"
FBgn0023513,,CG14803,Dmel\CG14803,EG:63B12.9
FBgn0014411,Vacuolar protein sorting 26,CG14804,Dmel\Vps26,"EG:63B12.8 , dvps26"
FBgn0023514,,CG14805,Dmel\CG14805,EG:63B12.7
FBgn0029594,Cytochrome c oxidase assembly factor 8,CG14806,Dmel\Coa8,
FBgn0023519,mitochondrial ribosomal protein L16,CG3109,Dmel\mRpL16,"EG:63B12.2 , D-15, anon-2Bd"
FBgn0023509,Myb-interacting protein 130,CG3480,Dmel\mip130,"EG:86E4.4 , twit, twilight"
FBgn0023510,Rabconnectin-3B,CG17766,Dmel\Rbcn-3B,"EG:86E4.3 , Rabconnectin-3β"
FBgn0023508,Oculocerebrorenal syndrome of Lowe,CG3573,Dmel\Ocrl,"EG:86E4.5 , dOCRL"
FBgn0023522,,CG11596,Dmel\CG11596,EG:39E1.1
FBgn0023521,,CG3587,Dmel\CG3587,EG:39E1.2
FBgn0025627,,CG4194,Dmel\CG4194,EG:22E5.6
FBgn0025630,RNA 3'-terminal phosphate cyclase,CG4061,Dmel\Rtca,EG:22E5.3
FBgn0025629,,CG4045,Dmel\CG4045,EG:22E5.4
FBgn0025628,,CG4199,Dmel\CG4199,EG:22E5.5
FBgn0029596,,CG14054,Dmel\CG14054,
FBgn0025626,,CG4281,Dmel\CG4281,EG:22E5.7
FBgn0025625,Salt-inducible kinase 2,CG4290,Dmel\Sik2,"EG:22E5.8 , Salt-induced kinase 2"
FBgn0025631,moody,CG4322,Dmel\moody,"EG:22E5.11 , EP1631"
FBgn0026878,,CG4325,Dmel\CG4325,EG:22E5.12
FBgn0000667,α actinin,CG4376,Dmel\Actn,"fliA, l(1)2Cb,  EG:133E12.1 , a-actinin, Alpha-actinin"
FBgn0003964,ultraspiracle,CG4380,Dmel\usp,"DmUSP, CF1,  EG:22E5.1 , dUSP, NR2B4"
FBgn0023545,Phosphatidylinositol glycan anchor biosynthesis class K,CG4406,Dmel\PIG-K,EG:133E12.3
FBgn0023520,,CG3857,Dmel\CG3857,EG:39E1.3
FBgn0023512,eukaryotic translation initiation factor 2B subunit epsilon,CG3806,Dmel\eIF2Bε,"eIF2B-epsilon, eIF2B-ε,  EG:86E4.1"
FBgn0023511,"ER degradation enhancer, mannosidase alpha-like 1",CG3810,Dmel\Edem1,EG:86E4.2
FBgn0052801,,CG32801,Dmel\CG32801,
FBgn0023518,trithorax-related,CG3848,Dmel\trr,EG:63B12.3
FBgn0026088,,CG14818,Dmel\CG14818,EG:63B12.12
FBgn0026089,,CG14817,Dmel\CG14817,EG:63B12.11
FBgn0023517,Phosphoglycerate mutase 5,CG14816,Dmel\Pgam5,"EG:63B12.4 , dPGAM5"
FBgn0023516,Peroxin 5,CG14815,Dmel\Pex5,EG:63B12.5
FBgn0023515,Germ cell nuclear acidic peptidase,CG14814,Dmel\Gcna,EG:63B12.6
FBgn0028969,Coat Protein (coatomer) δ,CG14813,Dmel\δCOP,"EG:63B12.10 , l(1)G0301, l(1)G0051, δ-Cop, l(1)G0450"
FBgn0026090,,CG14812,Dmel\CG14812,EG:131F2.3
FBgn0029590,,CG14811,Dmel\CG14811,
FBgn0025624,,CG4025,Dmel\CG4025,EG:22E5.9
FBgn0040395,Uncoordinated 76,CG3981,Dmel\Unc-76,"l(1)G0066, l(1)G0310, l(1)G0158, l(1)G0360,  EG:67A9.1"
FBgn0000382,corkscrew,CG3954,Dmel\csw,"E(sev)1A, l(1)csw,  EG:BACN25G24.2 , l(1)2Db, l(1)G0170"
FBgn0023507,D-2-hydroxyglutaric acid dehydrogenase,CG3835,Dmel\D2hgdh,EG:87B1.3
FBgn0004654,Phosphogluconate dehydrogenase,CG3724,Dmel\Pgd,"6PGDH, 6PGD, 6-Pgd, 6-phosphogluconate dehydrogenase,  EG:87B1.4"
FBgn0023540,,CG3630,Dmel\CG3630,EG:152A3.3
FBgn0025839,NADH dehydrogenase (ubiquinone) B14.5 A subunit,CG3621,Dmel\ND-B14.5A,"EG:152A3.7 , anon-2Db"
FBgn0011576,Cytochrome P450-4d2,CG3466,Dmel\Cyp4d2,"P450,  EG:152A3.4"
FBgn0015036,Cytochrome P450-4ae1,CG10755,Dmel\Cyp4ae1,"P450,  EG:152A3.6 , 4ae1, TcD20"
FBgn0003116,prune,CG3461,Dmel\pn,EG:152A3.5
FBgn0040899,,CG17776,Dmel\CG17776,
FBgn0040900,,CG17777,Dmel\CG17777,
FBgn0024984,,CG3457,Dmel\CG3457,EG:17E2.1
FBgn0023549,Monocarboxylate transporter 1,CG3456,Dmel\Mct1,EG:103B4.3
FBgn0029606,,CG14052,Dmel\CG14052,
FBgn0003048,pecanex,CG3443,Dmel\pcx,"fs(1)pcx,  EG:30B8.4 , fs(1)M10, mel(1)R1"
FBgn0000810,female sterile (1) K10,CG3218,Dmel\fs(1)K10,"K10, fs(1)M9,  EG:30B8.5"
FBgn0023523,Odorant receptor 2a,CG3206,Dmel\Or2a,"EG:30B8.7 , AN4, Olfactory receptor 2F.1"
FBgn0023527,,CG3071,Dmel\CG3071,EG:25E8.3
FBgn0040391,,CG2854,Dmel\CG2854,EG:BACH48C10.2
FBgn0053218,long non-coding RNA:CR33218,CR33218,Dmel\lncRNA:CR33218,
FBgn0003079,Raf oncogene,CG2845,Dmel\Raf,"D-raf, Draf, phl, pole hole, l(1)ph"
FBgn0003159,,CG2841,Dmel\CG2841,"ptr,  EG:BACH48C10.5"
FBgn0040389,mitochondrial ribosomal protein L14,CG14048,Dmel\mRpL14,EG:BACH48C10.6
FBgn0044047,Insulin-like peptide 6,CG14049,Dmel\Ilp6,"dilp6, DILP-6, DILP, Dilp 6"
FBgn0040392,,CG14050,Dmel\CG14050,EG:BACH48C10.1
FBgn0023526,,CG2865,Dmel\CG2865,EG:25E8.4
FBgn0023529,,CG2918,Dmel\CG2918,EG:25E8.1
FBgn0023528,,CG2924,Dmel\CG2924,EG:25E8.2
FBgn0027296,tempura,CG3073,Dmel\temp,
FBgn0023524,,CG3078,Dmel\CG3078,EG:30B8.6
FBgn0023525,,CG3191,Dmel\CG3191,EG:30B8.3
FBgn0000377,crooked neck,CG3193,Dmel\crn,"yok, l(1)2,  EG:30B8.1 , yolky, l30"
FBgn0001330,kurz,CG3228,Dmel\kz,"EG:30B8.2 , l67"
FBgn0004397,Vinculin,CG3299,Dmel\Vinc,"EG:103B4.1 , Vin, CT11081"
FBgn0023550,Fatty acyl-CoA reductase in oenocytes,CG18031,Dmel\FarO,EG:103B4.2
FBgn0029603,,CG14053,Dmel\CG14053,
FBgn0023542,Nonsense-mediated mRNA 3,CG3460,Dmel\Nmd3,"EG:152A3.1 , TcD12"
FBgn0023541,Cyp4d14,CG3540,Dmel\Cyp4d14,EG:152A3.2
FBgn0005670,Cytochrome P450-4d1,CG3656,Dmel\Cyp4d1,"P450,  EG:87B1.1"
FBgn0004655,wings apart-like,CG3707,Dmel\wapl,"pasc, wap, l(1)C204,  EG:87B1.2 , l(1)2Df"
FBgn0013432,bcn92,CG3717,Dmel\bcn92,EG:87B1.6
FBgn0004861,polyhomeotic proximal,CG18412,Dmel\ph-p,"ph, Polyhomeotic,  EG:87B1.5 , PHP, ph-proximal"
FBgn0004860,polyhomeotic distal,CG3895,Dmel\ph-d,"ph, Polyhomeotic,  EG:BACN25G24.3 , DROZFP, PHD"
FBgn0040394,,CG16903,Dmel\CG16903,EG:67A9.2
FBgn0040376,Arylalkylamine N-acetyltransferase-like 7,CG13759,Dmel\AANATL7,EG:BACR25B3.5
FBgn0040066,will die slowly,CG17437,Dmel\wds,"zw8, l(1)zw8, zw-8, l(1)3Ad,  EG:BACR25B3.7"
FBgn0001404,egghead,CG9659,Dmel\egh,"zw4, l(1)zw4, zw-4,  EG:BACR25B3.8 , zeste-white 4"
FBgn0040336,Seipin,CG9904,Dmel\Seipin,"dSeipin,  EG:BACR7C10.1"
FBgn0040333,brivido-3,CG13762,Dmel\brv3,"EG:BACR7C10.7 , Brv-3"
FBgn0040334,Tetraspanin 3A,CG10742,Dmel\Tsp3A,EG:BACR7C10.6
FBgn0029629,eukaryotic translation initiation factor 3 subunit g1,CG8636,Dmel\eIF3g1,"eIF3-S4, eIF3ga"
FBgn0011566,"SET and MYND domain containing, class 3",CG13761,Dmel\Smyd3,"EG:BACR7C10.4 , Bzd, Buzidau"
FBgn0011606,Kinesin-like protein at 3A,CG8590,Dmel\Klp3A,"mei-352, DmKlp3A, fs(1)M4,  EG:BACR25B3.9"
FBgn0040375,,CG13760,Dmel\CG13760,EG:BACR25B3.6
FBgn0040377,Vacuolar H+ ATPase 36kD subunit 3,CG8310,Dmel\Vha36-3,EG:BACR25B3.4
FBgn0040388,brother of ihog,CG32796,Dmel\boi,"EG:BACH59J11.2 , CT23737"
FBgn0003714,technical knockout,CG7925,Dmel\tko,"mitoribosomal protein S12,  EG:BACH59J11.1 , mRpS12, l(1)tko"
FBgn0001150,giant,CG7952,Dmel\gt,EG:BACH7M4.5
FBgn0052797,,CG32797,Dmel\CG32797,
FBgn0040385,,CG12496,Dmel\CG12496,EG:BACH7M4.4
FBgn0003371,shaggy,CG2621,Dmel\sgg,"zw3, GSK3, GSK3β, GSK-3β, GSK-3"
FBgn0003068,period,CG2647,Dmel\per,"dper, Clk,  EG:155E2.4"
FBgn0024993,,CG2662,Dmel\CG2662,EG:100G10.6
FBgn0024996,eukaryotic translation initiation factor 2B subunit beta,CG2677,Dmel\eIF2Bβ,"eIF2B-β, eIF2B-beta,  EG:100G10.3"
FBgn0024997,,CG2681,Dmel\CG2681,EG:100G10.2
FBgn0024991,,CG2694,Dmel\CG2694,"EG:95B7.10 ,  EG:100G10.8"
FBgn0000928,female sterile (1) Yb,CG2706,Dmel\fs(1)Yb,"Yb,  EG:95B7.8"
FBgn0000927,female sterile (1) Young arrest,CG2707,Dmel\fs(1)Ya,"YA, fs(1)M12,  EG:95B7.4 , Young Arrest, fs(1)73"
FBgn0000520,deformed wings,CG2711,Dmel\dwg,"zw5, l(1)zw5, zw-5, SBP,  EG:95B7.6"
FBgn0024975,,CG2712,Dmel\CG2712,"EG:95B7.7 , anon-3Be"
FBgn0040356,,CG12498,Dmel\CG12498,EG:BACR43E12.1
FBgn0003996,white,CG2759,Dmel\w,"mini-white, DMWHITE,  EG:BACN33B1.1"
FBgn0040384,,CG32795,Dmel\CG32795,EG:BACN33B1.2
FBgn0024980,Syntaxin 4,CG2715,Dmel\Syx4,"Syntaxin,  EG:95B7.1"
FBgn0000376,cramped,CG2714,Dmel\crm,"zw9, l(1)zw9, zw-9, sa,  EG:95B7.2"
FBgn0024973,,CG2701,Dmel\CG2701,"EG:95B7.9 , anon-3Bd"
FBgn0024998,,CG2685,Dmel\CG2685,EG:100G10.1
FBgn0024995,,CG2680,Dmel\CG2680,EG:100G10.4
FBgn0024994,UDP-galactose transporter,CG2675,Dmel\Ugalt,"Csat, anon-3Bb,  EG:100G10.5"
FBgn0024992,Paraplegin,CG2658,Dmel\Spg7,"anon-3Ba,  EG:100G10.7"
FBgn0000092,daywake,CG2650,Dmel\dyw,"0.9,  EG:155E2.1 , 0.9kb transcript, anon-3B1.2"
FBgn0025838,,CG2652,Dmel\CG2652,EG:155E2.5
FBgn0011276,Helix loop helix protein 3B,CG2655,Dmel\HLH3B,EG:155E2.2
FBgn0004647,Notch,CG3936,Dmel\N,"Ax, spl, fa, NICD, Abruptex"
FBgn0040396,,CG3939,Dmel\CG3939,EG:140G11.5
FBgn0000479,dunce,CG32498,Dmel\dnc,"PDE4, fs(1)M42,  EG:140G11.4 ,  EG:96G10.7"
FBgn0002933,new glue 1,CG10781,Dmel\ng1,"ng-1, ngp, SC1, ng"
FBgn0003374,Salivary gland secretion 4,CG12181,Dmel\Sgs4,"Sgs-4, salivary gland secretion protein 4, Sgs"
FBgn0029660,,CG10801,Dmel\CG10801,
FBgn0029662,,CG12206,Dmel\CG12206,
FBgn0029661,,CG16781,Dmel\CG16781,
FBgn0029659,,CG16782,Dmel\CG16782,
FBgn0029658,,CG14269,Dmel\CG14269,
FBgn0052493,transfer RNA:Glutamine-TTG 2-1,CR32493,Dmel\tRNA:Gln-TTG-2-1,
FBgn0029657,,CG12535,Dmel\CG12535,
FBgn0029656,,CG10793,Dmel\CG10793,
FBgn0003086,Pre-intermoult gene 1,CG10790,Dmel\Pig1,"Pig-1, gsg"
FBgn0010296,new glue 4,CG10789,Dmel\ng4,ng-4
FBgn0010295,new glue 3,CG10788,Dmel\ng3,ng-3
FBgn0010294,new glue 2,CG14266,Dmel\ng2,"ng-2, ng"
FBgn0040393,,CG14265,Dmel\CG14265,EG:96G10.8
FBgn0000644,Follicle cell protein 3C,CG4015,Dmel\Fcp3C,EG:140G11.2
FBgn0028746,,CG18508,Dmel\CG18508,EG:140G11.3
FBgn0040355,,CG3526,Dmel\CG3526,EG:BACR43E12.4
FBgn0052793,,CG32793,Dmel\CG32793,"EG:100G7.1 ,  EG:100G7.2 , anon-3Ca, anon-3Cb"
FBgn0029642,,CG3592,Dmel\CG3592,
FBgn0025645,,CG3598,Dmel\CG3598,EG:100G7.3
FBgn0029643,,CG14420,Dmel\CG14420,
FBgn0029644,,CG14421,Dmel\CG14421,
FBgn0029645,,CG14422,Dmel\CG14422,
FBgn0029646,,CG14423,Dmel\CG14423,
FBgn0029647,,CG17959,Dmel\CG17959,
FBgn0029648,,CG3603,Dmel\CG3603,
FBgn0028369,kin of irre,CG3653,Dmel\kirre,"duf, dumbfounded, Duf/Kirre, Dumbfounded/Kirre"
FBgn0029649,,CG4116,Dmel\CG4116,
FBgn0003285,roughest,CG4125,Dmel\rst,"irreC, irreC-rst, rst-irrecC, irreC-roughest, irregular chiasm C-roughest"
FBgn0025644,,CG14424,Dmel\CG14424,EG:100G7.5
FBgn0029639,,CG14419,Dmel\CG14419,
FBgn0040354,,CG14418,Dmel\CG14418,EG:BACR43E12.5
FBgn0040353,,CG14417,Dmel\CG14417,EG:BACR43E12.6
FBgn0040352,,CG14416,Dmel\CG14416,EG:BACR43E12.7
FBgn0029664,,CG10802,Dmel\CG10802,
FBgn0029666,,CG10803,Dmel\CG10803,
FBgn0029669,,CG13021,Dmel\CG13021,
FBgn0052792,pickpocket 8,CG32792,Dmel\ppk8,
FBgn0044046,Insulin-like peptide 7,CG13317,Dmel\Ilp7,"dilp7, DILP, DILP 7, dilp-7"
FBgn0023215,Mnt,CG13316,Dmel\Mnt,"dMnt, dMad, Mad, Mad-3E,  EG:114E2.2"
FBgn0015286,Ras-like protein A,CG2849,Dmel\Rala,"Ral, dRal, Ras-related protein, l(1)G0174, l(1)G0373"
FBgn0023216,Poly(ADP-ribose) glycohydrolase,CG2864,Dmel\Parg,
FBgn0029672,,CG2875,Dmel\CG2875,
FBgn0052791,Dpr-interacting protein α,CG32791,Dmel\DIP-α,
FBgn0029667,Growth arrest specific protein 8,CG14271,Dmel\Gas8,
FBgn0029665,,CG14270,Dmel\CG14270,
FBgn0029663,,CG10804,Dmel\CG10804,
FBgn0052785,transfer RNA:Glutamine-CTG 2-1,CR32785,Dmel\tRNA:Gln-CTG-2-1,
FBgn0025118,transfer RNA:Proline-CGG 3-1,CR32784,Dmel\tRNA:Pro-CGG-3-1,tRNA:P:3E
FBgn0028491,,CG2930,Dmel\CG2930,BcDNA:GH06717
FBgn0029681,,CG15239,Dmel\CG15239,
FBgn0029686,Gaulos,CG2941,Dmel\Glos,Gem4a
FBgn0052786,Gemin 4b,CG32786,Dmel\Gem4b,
FBgn0052783,Gemin 4c,CG32783,Dmel\Gem4c,
FBgn0029687,VAMP-associated protein 33kDa,CG5014,Dmel\Vap33,"Vap-33-1, VAP, DVAP-33A, DVAP, dVAP33A"
FBgn0029690,,CG6414,Dmel\CG6414,
FBgn0029689,,CG6428,Dmel\CG6428,
FBgn0029688,lava lamp,CG6450,Dmel\lva,Lava
FBgn0029685,,CG2938,Dmel\CG2938,
FBgn0019661,long non-coding RNA on the X 1,CR32777,Dmel\lncRNA:roX1,"roX1, roX, RNA on the X 1, yang, RNA on the X1"
FBgn0029694,,CG15375,Dmel\CG15375,
FBgn0000221,brainiac,CG4934,Dmel\brn,"fs(1)107, l(1)6P6, fs(1)A107"
FBgn0026084,ciboulot,CG4944,Dmel\cib,
FBgn0026085,dim γ-tubulin 4,CG4865,Dmel\dgt4,EG:EG0007.10
