Symbol,Alias
14-3-3zeta,"14-3-3, 14-3-3 zeta, 14-3-3-zeta, 14-3-3leo, 2G1, 4-3-3 zeta, 5.11, 549, BEST:GH05075, CG17870, D14-3-3, D14-3-3zeta, DmelCG17870, K, LEO, PAR-5, PAR5, l(2)07103, l(2)46CFe, l(2)46Ee"
ttk,"0037/17, 0250/25, 0438/31, 0702/07, 1049/07, 1119/04, 1184/16, 1209/05, 1209/10, 1260/10, 1281/04, 1325/15, 1372/08, 1396/14, 1418/06, 3540, 5125, 5311, CG11558, CG1856, DmelCG1856, E(yan)100D, FTZ-F2, TTK69, TTK88, TTKA, anon-EST:Liang-2.9, clone 2.9, ftzf2/ttk, l(3)02667, l(3)j2A1, l(3)j7B8, osn, oss, ovs, tramtrak, ttk/FTZ-F2, ttkp69, twk"
eco,"CG8598, Deco, DmelCG8598, Eco1"
sina,"CG9949, DmelCG9949, anon-EST:fe2H7, sia"
L,"CG10109, DmelCG10109, fee, lobe/Akt1s1"
Cks30A,"CDI2, CG3738, Cks, DmCks1, DmelCG3738, U40077, fs(2)rem, rem"
CG5274,DmelCG5274
Cpr51A,"CG10112, DmelCG10112"
CG11984,DmelCG11984
ple,"CG10118, DH65B, DTH, DmelCG10118, Pale, TH, VII, dTH1, dTH65B, pale/ple"
CG10126,"CT28495, DmelCG10126"
ced-6,"CG11804, DmelCG11804, ced6, dCed-6, drCed-6"
crn,"62D9.a, CG18842, CG3193, DmelCG3193, EG:30B8.1, N10, N5, RC63, l(1)2, l(1)2Fa, l(1)CRN, l(1)N7, l30, yok"
tra2,"CG10128, DmelCG10128, TRA 2, TRA-2"
Doa,"0844/02, CG1658, CG31049, CG33204, CG33553, CG42320, DOA/CLK2, DmelCG42320, Dmel_CG33204, Dmel_CG33553, Msu, l(3)01705, l(3)S084402, l(3)s2784"
Rbp1,"CG17136, DmelCG17136, RRM1, RRM11, Rbp-1, Rbp11"
CG10137,DmelCG10137
ATPCL,"BcDNA:LD21334, CG8322, DmATPCL, DmelCG8322, anon-WO0140519.179, dATPCL, l(2)01466, l(2)k09217, n(2)k09217"
PpD5,"CG10138, D5, DmelCG10138, anon-WO0140519.107"
CG18666,DmelCG18666
CG10139,DmelCG10139
fd68A,"CG11799, DmLD16137, DmMNF, DmelCG11799, FoxK, MNF, fork head transcription factor long isoform, fork head transcription factor short isoform"
CG17765,DmelCG17765
Hug,"CG6371, DmelCG6371, Drm-MT2, Drm-PK-2, HUGgamma, Hug-gamma, Hugin-PK-2, PK-2, hug gamma, hug-1, hug-2, hug-PK, hugg, hugin, pyrokinin/PBAN-like"
Src64B,"C-src1, CG7524, D-Src64B, D-src, DSRC64, DSrc, DSrc64B, Dm SRC1, DmHD-358, DmelCG7524, HD-358, MRE5, SRC 64B, Src, Src1, Src64, c-src"
Sry-beta,"CG7938, DmelCG7938, Srybeta, ser, sry, sry beta, sry-b, sryb"
robl62A,"CG1014, DmelCG1014, rob162A"
CG10834,DmelCG10834
CG10927,DmelCG10927
CG10144,"DmelCG10144, Vps8, anon-WO0118547.365"
Dcp1,"CG11183, Dcp-1, Dcp1p, DmelCG11183, anon-WO0118547.163, dDCP1"
Rpn6,"BcDNA.LD18931, BcDNA:LD18931, CG10149, DmelCG10149, Pros44.5, S9, dPSMD11, l(2)k00103, p42B"
CSN4,"CG8725, CH4, Cops4, DCH4, DmelCG8725, l(2)k08018"
CG10151,DmelCG10151
CG4270,"BcDNA:AT04879, DmelCG4270"
Trs31,"CG10153, DmelCG10153, Trs31p"
Trs20,"BcDNA:RE62842, CG5161, DmelCG5161, E(smoDN)B-left, Group B-left, Trs20p, l(3)72Dh"
CG9577,DmelCG9577
CG10154,DmelCG10154
Sik3,"CG15072, CG18604, CG42856, DmelCG42856, Dmel_CG15072, Dmel_CG18604, EMK/KIAA0999, SIK"
CG43896,"CG17824, CG6947, DmelCG43896, Dmel_CG17824, Dmel_CG6947"
Spred,"AE33, CG10155, Dm AE33, DmelCG10155, dSPRED"
ms(3)K81,"CG14251, DmelCG14251, K81, ms(3)97Dg, ph"
CG10157,"DmelCG10157, anon-EST:Posey120"
lig3,"CG17227, DmelCG17227, lig 3"
CG31038,"CG15512, CG7854, DmelCG31038"
CG10158,"DmelCG10158, FGFR1OP2, FGOP2"
CG17494,DmelCG17494
Kat60,"CG10229, Dm-Kat60, DmCG10229, DmelCG10229, Katanin-60, katanin60-dm"
CG10650,"BEST:GH09876, DmelCG10650"
Kebab,"BEST:LD15963, CG31672, CG4248, DmelCG31672, keb, n(2)k09932"
ImpL3,"CG10160, DmelCG10160, IMP-L3, LDH, Ld, dLDH, dLdha, dmLDH"
CG17029,"DmelCG17029, IMP"
eIF-3p66,"153314_at, BEST:GM10514, CG10161, DmelCG10161, GM04979, GM10514, eIF3-S7, eIF3p66"
CG2061,"BcDNA:LD28247, DmelCG2061"
CG10164,"DmelCG10164, NEST:bs02f09"
RpII18,"BcDNA:RH21608, CG1163, Dm6, DmelCG1163, H5, Pol II, PolII, RNA Pol II, RNA polII, RNAP, RNAP II, RNApolII, RPB6_DROME, RpABC14, Rpll18"
CG12470,"DmelCG12470, EG:BACR37P7.5, NEST:bs07e10, NEST:bs17h08"
msps,"CG5000, Dis1, DmelCG5000, TOG, XMAP215, anon-WO0140519.136"
CG7488,DmelCG7488
Mfap1,"CG1017, DmelCG1017, dmfap1"
Rcd5,"CG1135, DmelCG1135, MCRS1, MCRS2, dMCRS1, dMCRS2, l(3)r0166, l(3)rG166, p78"
Drep-2,"CG1975, DmelCG1975, Drep2, Rep2, anon-WO0118547.162, anon-WO0118547.168"
Prp38,"CG30342, CG8054, DmelCG30342, dprp38"
Drep-3,"BcDNA:AT08574, CG13187, CG8364, DmelCG8364, Drep3, Rep3"
Best2,"CG10173, DmelCG10173, dbest2"
CG8833,"DmelCG8833, GPTC1"
Ntf-2r,"CG10174, DmelCG10174, Dntf-2, Dntf-2R"
CG12081,DmelCG12081
Scm,"CG9495, DmelCG9495, Su(z)302, l(3)85Ef"
CG10176,DmelCG10176
CG10177,DmelCG10177
Arf102F,"ARF2, ARFII, Arf102E, Arf4, Arf5, CG11027, DmelCG11027, P40945, dARFII"
Mdr65,"CG10181, DmelCG10181, Mdr65A, P-gp"
Neto,"CG12727, CG15751, CG15752, CG15753, CG32635, CG44328, CT36003, DmelCG44328, Dmel_CG15753, Dmel_CG32635, tld-like"
sns,"43-49, CG12495, CG13752, CG13753, CG13754, CG13755, CG18464, CG2385, CG33141, CG8278, CT33230, CT33232, DmelCG33141, Sens, rost, sns20"
CG10189,"DmelCG10189, i180, i199"
Nha1,"CG10806, DmNHA1, DmelCG10806"
Mlp84B,"CG1019, DLim-3, DmLIM-3, DmelCG1019, MLP, Mlmu84B, dMlp84B"
nesd,"38B.16, CG10722, DmelCG10722"
Ssl1,"CG11115, DmelCG11115, p44"
CG13501,DmelCG13501
CG17440,DmelCG17440
CG7046,"BcDNA:AT28425, DmelCG7046"
slow,"CG7447, CT22877, DmelCG7447, blr, slomo"
CG9572,"CT17356, DmelCG9572"
CG10195,DmelCG10195
CG7025,DmelCG7025
Nup98-96,"CG10198, CG10201, DmelCG10198, NUP98, Nup, Nup 96, Nup 98, Nup-98, Nup96, Nup96-98, Nup98-Nup96, Nup98/96, l(3)95BCd, nup145"
spo,"307a1, CG10594, CYP307A1, CYP307A1-Dm, DmelCG10594, Dmspo"
CG10205,"CT28709, DmelCG10205"
CG17019,DmelCG17019
CG6357,DmelCG6357
nop5,"2/30, CG10206, DNOP5, DmelCG10206, FBgn0026196"
eIF2B-beta,"CG2677, DMC100G10.3, DmelCG2677, EG:100G10.3, EIF2b, eIF2Bbeta"
CG9825,DmelCG9825
NaPi-T,"CG10207, DmelCG10207, Dropo, Na/Pi-cotransporter"
CG9754,DmelCG9754
CG10208,"CT28701, DmelCG10208"
CG7564,DmelCG7564
CG10209,DmelCG10209
CycG,"CG 11525, CG11525, DmelCG11525, anon-EST:Liang-1.25, anon-EST:Liang-2.24, chr3R:27424276..27424475, clone 1.25, clone 2.24, dCycG, i205, i261"
CG14374,DmelCG14374
elfless,"BcDNA:AT24563, CG15150, DmelCG15150"
CG15458,DmelCG15458
CG17362,DmelCG17362
CG9040,"BcDNA:LP10528, DmelCG9040"
Dmtn,"CG1021, DmelCG1021, anon-WO0118547.375"
CG17344,"BcDNA:AT10305, DmelCG17344"
CG10211,DmelCG10211
CG11786,DmelCG11786
CG10214,DmelCG10214
CG7222,DmelCG7222
Ercc1,"CG10215, DmelCG10215"
CG33052,"CG3882, DmelCG33052"
mei-9,"CG3697, DhR1, DmXPF, DmelCG3697, Rad1p, mei9, mus(1)110, mus110, xpf/mei-9"
Xpac,"CG6358, DhR14, DhXPA, DmXPA, DmelCG6358, Dxpa, EG:EG0007.8, XPA_DROME, Xpa"
CG10219,"BEST:GH27735, DmelCG10219"
Tapdelta,"BcDNA:GM12291, CG9035, DmelCG9035, TRAPdelta, l(2)k17005"
CG10222,DmelCG10222
CG32683,"CG15303, CG2881, CG2883, DmelCG32683"
CG3704,"DmelCG3704, EG:BACR7A4.17, XAB1"
RanBP3,"CG10225, DmelCG10225, GC10225"
CG5011,DmelCG5011
rdx,"0869/09, BEST:GM07940, CG10235, CG12537, CG9924, D-SPOP, DmelCG12537, Dmel_CG9924, Dromel_CG9924_FBtr0082871_rdx_mORF, HIB, SPOP, anon-WO0118547.577, l(3)03477, l(3)2004, l(3)88Aa, l(3)A6, l(3)S086909, l(3)SG40, l(3)dsl-6, l(3)dsl6, l(3)j1D1, l(3)j4C7, mei-P19"
kat80,"CG13956, CG9910, DmelCG13956, Katanin80"
shot,"42/4, CG18076, CG18637, DmelCG18076, Grv, Su(Mir)1, kak, kop, l(2)CA4, l(2)k03010, l(2)k04204, l(2)k05434, l(2)k05821, l(2)k10821, l(2)k15606, shortstop/kakapo"
CG7856,DmelCG7856
Rpn9,"0718/06, 718/06, CG10230, CT28749, DmelCG10230, PSMD13, Rpn4, Rpn94, S11, l(3)S071806, l(3)S071806b, p39A"
Rpn5,"CG1100, DmelCG1100, p55"
rtp,"9C4, CG10233, DmelCG10233, anon-83ABa, retin, uta"
kni,"CG4717, DmelCG4717, KNIRPS, Kn, NR0A1, knr, ri"
NiPp1,"CG8980, DmelCG8980, NIPP-1Dm, NIPP1Dm, NiPp-1"
CG10237,DmelCG10237
cbs,"CG4840, DmelCG4840, dGolgin-97, dem"
Mocs2,"CG10238, DmelCG10238, Dromel_CG10238_FBtr0084782_mocs_mORF, MBIP/dMoaE, Mbip, dMoaE"
CG13090,"DmelCG13090, dMoaD"
Cyp6a22,"6a22, BF6-2, CG10240, Cyt-P450-rBF6-2, DmelCG10240, P-450, P450"
Osi6,"BcDNA:LD21503, CG1151, DmelCG1151"
Cyp6a19,"6a19, CG10243, DmelCG10243"
CG6950,DmelCG6950
Cyp6a9,"6a9, CG10246, Cyt-P450-rAF4, DmelCG10246, P-450, P450"
CG5144,DmelCG5144
prt,"CG10251, DmelCG10251"
Cpr67Fa2,"BcDNA:LP01241, CG18349, DmelCpr67Fa2, DmelCG18349"
CG10252,"BEST:GH13953, DmelCG10252, anon-WO0140519.133, bs30h03.y1"
CG1486,DmelCG1486
Lap1,"CG10255, CT28815, DmelCG10255, dLAP1"
CG9254,"BG:DS07660.1, DS07660.1, DmelCG9254"
CG10257,"BcDNA:RH51312, DmelCG10257"
bur,"CG9242, DmelCG9242, ES2-2, GMPS, P174, anon-WO0118547.193, anon-WO0118547.204, gua2, l(2)10523"
aPKC,"CG10261, CG30475, CG42783, DaPKC, DmelCG42783, Dmel_CG10261, Dmel_CG30475, PKCl, PKCzeta, a-PKC, aPKC-zeta, aPKCzeta, alphaPKCzeta, i, l(2)k06403, pkc-3, psu"
par-6,"CG5884, DPar-6, DPar6, Dm-Par-6, Dm-Par6, DmPAR-6, DmPar6, DmelCG5884, PAR6, Par"
Hakai,"CG10263, DmelCG10263"
Rcc1,"BJ1, CG10480, CG18640 (Bj1), DmelCG10480, RanGEF, dRCC1, inxs, sdt"
CG1104,DmelCG1104
vir,"CG3496, DmelCG3496"
CG5380,DmelCG5380
BM-40-SPARC,"BM-40 Sparc, BM-40/SPARC, BM40, CG6378, CT19876, DmelCG6378, SPARC, anon-EST:Posey291, dSPARC"
CG10265,"CG30474, DmelCG10265"
CG17625,DmelCG17625
mod(mdg4),"BcDNA:GH07769, BcDNA:SD03001, CG15500, CG15501, CG15802, CG18151, CG32491, CG7836, CG7859, CG8076, DmelCG32491, Doom, E(var)129, E(var)3-93D, E(var)93D, E-(var)3-93D, E-var(3)1, E-var(3)3, MOD(MDG4)56.3, MOD2.2, Mod(mdg 4), Mod(mdg 4)67.2, Mod(mdg)4, Mod(mdg4)-67.2, Mod(mdg4)2.2, Mod(mdg4)67.2, Mod67.2, Mod[mdg4], bpd, l(3)03852, l(3)L3101, l(3)j2B7, mdg4, mnm, mnn, mod, mod(gypsy), mod(mdg-4), mod(mdg4, pf-2"
vnd,"CG6172, Dm vnd, Dm-NK2, DmelCG6172, EC6, EG:118B3.1, HDC16822, NK-2, NK2, Nkx2, dNK-2, l(1)1Bf, l(1)EA142, l(1)EC6, l(1)GA100, l(1)GA122, l(1)RC24, l(1)VA208, l(1)VE769, lab, vnd/NK-2"
Zif,"CG10267, DmelCG10267, anon-WO0118547.391"
CG15436,DmelCG15436
CG4957,DmelCG4957
Mdh1,"CG5362, CT17038, DmelCG5362, MDH, MDH-1, Mdh2, MdhD, cMdh, sMdh"
D19A,"CG10269, DmelCG10269"
CG5050,DmelCG5050
M1BP,"CG9797, DmelCG9797"
D19B,"CG10270, DmelCG10270"
CG17292,DmelCG17292
GATAe,"CG10278, CG10278-PA, DmelCG10278, dGATA-E, dGATAe"
GstE3,"BEST:GH09055, CG17524, DmGSTE3, DmelCG17524, E3, GST-E3"
Rm62,"4136, CG10279, DmRH8, DmelCG10279, Dmp68, Lip, l(3)01086, l(3)j3D2, l(3)j3D5, l(3)rG338, l(3)s5196, p68"
numb,"CG3779, DmelCG3779, N7-1, Nb, d-numb, dNumb, l(2)03235, l(2)3235, l(2)s2201, numbs"
CG5110,"BcDNA:RE09173, DmelCG5110, MP1, dMP1"
CG7879,DmelCG7879
TfIIFalpha,"154355_at, CG10281, DmTFIIF, DmelCG10281, F5a, RAP74, TFIIF, TFIIF-L, TFIIFa"
NHP2,"CG5258, DmelCG5258, FBgn0029148"
Gasp,"CG10287, DmelCG10287, anon-EST:ParkEST180, gammaBert27, obst-C"
su(Hw),"CG8573, DmelCG8573, SUHW, Su[Hw]"
how,"0904/17, 24B, CG10293, DmelCG10293, KH93F, P62, SZ1, Who/How, anon-EST:Liang-2.39, clone 2.39, l(3)S053606, l(3)S090417, l(3)j5B5, l(3)j5D5, l(3)s2612, qkr, qkr[93F], sci, stru, who"
brp,"CG12932, CG12933, CG1931, CG30336, CG30337, CG34146, CG42344, Cast, DmelCG42344, Dmel_CG12932, Dmel_CG34146, MAbnc82, NC82, mAb nc82, nc-82"
Hydr2,"C24, CG3488, CT11757, DMU29170, DmelCG3488, anon-23D, anon-23Da"
CG10298,"BcDNA:GH28351, DmelCG10298"
rec,"CG14875, CG31293, CG4828, DmelCG31293, MCM8, rec-1, rec1"
CG10301,DmelCG10301
CG1314,"DmelCG1314, anon-WO0140519.251"
Jafrac1,"1633, CG1633, DPx-4783, DPx4783, DmTPx-1, DmelCG1633, PRDX1_DROME, Prx, Prx4783, SSP5111, T20, cTPx, dPrx I, jf1"
RpS26,"CG10305, DmelCG10305, M(2)36F, M(2)S13, M(2)m, M[[s]], anon-EST:fe2A3, l(2)04553, l(2)36Fa, rpS31"
CG14543,DmelCG14543
CG6310,"BcDNA:AT03632, DmelCG6310"
CG10306,DmelCG10306
CG5642,DmelCG5642
rg,"AKAP, Akap550, CG15464, CG15466, CG44835, CG6775, DAKAP550, DmelCG44835, Dmel_CG15464, Dmel_CG6775, fas"
CycJ,"CDI5, CG10308, DmelCG10308, cyclinJ"
CG7518,DmelCG7518
CG10311,"BEST:GH22794, DmelCG10311, dmCG10311, gh22794"
CG12746,"DmelCG12746, WUN-like"
CG31643,"BcDNA:LD32258, CG31643PA, DmelCG31643"
eIF2B-delta,"CG10315, DmelCG10315, eIF2Bdelta"
skpC,"CG11941, DmelCG11941, Skp, dskpC"
NC2alpha,"CG10318, DmelCG10318, Drap1, NC2, dDrap, dDrap1, dDrap1/dNC2a, dNC2"
spn-F,"1130/03, CG12114, DmelCG12114, l(3)S113003b"
CG1307,"BG:DS00004.12, DmelCG1307"
CG17121,DmelCG17121
NC2beta,"BG:DS00929.3, CG4185, DmelCG4185, Dr1, NC2 beta, Nc2b, dDr1, dNC2"
CG10321,DmelCG10321
Tsp42Ek,"CG12841, Dm.Tsp42Ek, DmelCG12841"
CG14811,DmelCG14811
CG15116,"DmelCG15116, GPx-like"
Syn2,"CG4905, DmSYN-2, DmelCG4905"
CG10324,DmelCG10324
l(2)37Cb,"CG10689, Cb, DmelCG10689, l(2)E104"
CG11266,"CAPER, CC1.3, DmelCG11266, HCC1"
SRm160,"CG11274, DmelCG11274"
su(w[a]),"CG3019, DmSWAP, DmelCG3019, EG:BACR7A4.10, SWAP, su(w), su(w[a])-1, su(w[a])-2, su(wa), su-w, su[wa]"
CG31211,"CG14732, CG18546, DmelCG31211, anon-WO03070958.3, cDNA"
Srp54,"CG4602, DmelCG4602, anon-EST:Liang-2.16, clone 2.16, dSRp54, p75"
CG5808,"BcDNA:GH01073, DmelCG5808, UKL"
CG6340,DmelCG6340
CG6843,DmelCG6843
TBPH,"CG10327, DmelCG10327, TDP-43, TDP43, dTDP, dtar"
CG5890,DmelCG5890
Fem-1,"CG9025, DmelCG9025, dFEM-1"
CG9083,DmelCG9083
nonA-l,"BEST:LD09360, CG10328, DmelCG10328, LD09360, PSF, Z, nonA 1, nonA-1"
CG10869,DmelCG10869
CG6425,DmelCG6425
spi,"CG10334, CT29014, DmelCG10334, EP(2)2378, Spitz, anon-WO0118547.158, l(2)01068, l(2)37Fa, l(2)s3547, s-spi, sSpi"
CG13272,"CG33312, DmelCG13272, Dmel_CG33312"
Pbgs,"CG10335, DmPBGS, DmelCG10335, delta-ALA-D"
Tim17a2,"BcDNA:RH03914, CG14666, DmelCG14666"
CG10336,DmelCG10336
CG7191,DmelCG7191
CG10339,DmelCG10339
CG43129,"CG17085, CG17086, DmelCG43129, Dmel_CG17085, Dmel_CG17086"
CG10340,"DmelCG10340, anon-EST:fe2A5, anon2A5"
ATPsyn-beta,"ATP, ATP syn-beta, ATP-syn-B, ATP-synbeta, ATPB, ATPase beta, ATPasebeta, ATPsyn b, ATPsyn-&bgr, ATPsyn-b, CG11154, DmelCG11154, beta-ATPase"
CG10341,DmelCG10341
Prp19,"BcDNA:LD02793, CG5519, DmelCG5519, GPB, Gbp, l(2)07838"
CG10344,DmelCG10344
CG12012,DmelCG12012
Grip71,"CG10346, Dgp71WD, Dgrip71, DmelCG10346, Grip71wd"
kel,"CG7210, Dm.Ring_canal/KELC_DROME, DmelCG7210, Kelch"
CG10348,DmelCG10348
gus,"A11, CG2944, CG2946, DmelCG2944, dmSSB4, i25"
CG10353,DmelCG10353
CG13296,DmelCG13296
ref(2)P,"CG10360, DmelCG10360, Ref2P, SQSTM1, p62, ref, ref(2)Pn, ref(2)Po2"
ScpX,"CG17320, DmelCG17320"
Act87E,"Actin, CG18290, DmelCG18290, E, act 87E, mus87E"
Tep4,"CG10363, CT29102, DmelCG10363, TEP IV, TEP4mel, TEPIV, dTEPIV"
CG7182,DmelCG7182
msb1l,"CG10364, DmelCG10364, msh1l"
Dlc90F,"CG12363, DmelCG12363, TcTex-1, Tctex, Tctex1, bs35g12.y1, dtctex-1, l(3)04091"
CG1678,"BcDNA:GH04760, DmelCG1678"
CG4053,"DmelCG4053, SP185"
CG4335,DmelCG4335
CG8584,"BEST:LP01468, DmelCG8584"
